"mrun","rbd_cc","preferencia_postulante"
260631,"12935_131000000133",4
260631,"31342_131000000133",5
265136,"31340_811000000133",1
265136,"31342_811000000133",2
265136,"317_811000000133",3
268597,"12891_331000000133",1
269648,"253_811000000131",1
269648,"12853_811000000133",2
273597,"12836_611000000133",1
273597,"10963_611000000133",2
275521,"12885_711000000133",1
275521,"31340_711000000133",2
275521,"12963_711000000133",3
275521,"12977_711000000133",4
275521,"31342_711000000133",5
275521,"318_711000000133",6
276859,"12943_131000000123",1
276859,"12830_131000000133",2
276859,"279_131000000133",3
276859,"287_131000000133",4
276859,"12958_131000000133",5
276859,"12885_131000000133",6
277198,"367_131000000133",1
280712,"12851_131000000133",1
280712,"256_131000000133",2
280712,"10962_131000000133",3
280712,"12853_131000000133",4
280712,"254_131000000113",5
288792,"255_711000000133",1
288792,"230_711000000133",2
288792,"225_711000000133",3
288792,"12836_711000000133",4
291655,"200_131000000133",1
291655,"199_131000000133",2
293666,"283_131000000133",1
293666,"279_131000000133",2
295312,"31340_711000000133",1
295312,"12885_711000000133",2
295312,"336_711000000131",3
295312,"12963_711000000133",4
295312,"337_711000000133",5
297331,"12943_711000000123",1
297331,"12891_711000000133",2
298224,"10970_341041005133",1
298224,"10967_341041005133",2
298224,"255_331000000133",3
301172,"310_511000000133",1
301172,"303_511000000131",2
301172,"297_511000000133",3
301396,"280_131000000133",1
301396,"279_131000000133",2
301396,"12943_131000000123",3
301465,"12885_411000000133",1
301465,"12963_411000000133",2
301465,"12837_411000000133",3
301465,"31342_411000000133",4
301465,"12977_411000000133",5
301465,"344_411000000131",6
301465,"12860_411000000131",7
301465,"12970_411000000133",8
301465,"291_411000000133",9
301465,"341_411000000132",10
301465,"365_411000000133",11
301465,"336_411000000131",12
301465,"12935_411000000133",13
301465,"12840_411000000133",14
301587,"12837_411000000133",1
301587,"12868_411000000133",2
301587,"12891_411000000133",3
301587,"356_411000000133",4
301587,"12860_411000000131",5
301587,"12944_411000000133",6
302160,"12943_711000000123",1
302160,"343_711000000131",2
304922,"219_131000000133",1
304922,"220_131000000133",2
304922,"10970_131000000133",3
308062,"12837_411000000133",1
308062,"12970_411000000133",2
308062,"306_411000000132",3
308062,"201_411000000133",4
308559,"317_511000000133",1
308559,"305_511000000133",2
308559,"291_511000000133",3
309148,"283_131000000133",1
309148,"279_131000000133",2
309148,"10968_131000000133",3
314409,"12943_711000000123",1
314409,"12868_711000000133",2
317234,"226_511000000133",1
317234,"10963_511000000133",2
319138,"12970_411000000133",1
319138,"12977_411000000133",2
319138,"344_411000000131",3
320393,"220_131000000133",1
320393,"10970_131000000133",2
320393,"217_131000000133",3
320597,"20478_131000000133",1
320597,"220_131000000133",2
320597,"10970_131000000133",3
320597,"255_131000000133",4
321558,"208_131000000133",1
321558,"200_131000000133",2
321558,"199_131000000133",3
324788,"31343_711000000133",1
324788,"284_711000000133",2
324788,"304_711000000133",3
324788,"329_711000000133",4
324788,"367_711000000133",5
327463,"253_511000000132",1
327463,"12980_511000000133",2
327463,"255_511000000133",3
327463,"10962_511000000131",4
327463,"12851_511000000133",5
327463,"12853_511000000133",6
327463,"12823_511000000133",7
327463,"228_511000000133",8
327917,"12830_131000000133",1
327917,"356_131000000133",2
328015,"287_431000000133",1
328015,"286_431000000133",2
329706,"12943_811000000123",1
329706,"12868_811000000133",2
330094,"283_361063009133",1
330094,"287_331000000133",2
330094,"10968_351052013133",3
330552,"367_131000000133",1
330777,"31340_131000000133",1
330777,"12963_131000000133",2
330777,"12868_131000000133",3
333788,"12943_711000000123",1
333788,"12868_711000000133",2
334461,"12970_411000000133",1
334461,"313_411000000133",2
335827,"12980_711000000133",1
335827,"10963_711000000133",2
343870,"225_811000000133",1
343870,"12810_811000000133",2
346216,"342_411000000133",1
346216,"356_411000000133",2
346216,"12800_411000000132",3
346216,"350_411000000131",4
346216,"336_411000000131",5
346216,"304_411000000133",6
348508,"279_131000000133",1
348508,"283_131000000133",2
348508,"31345_131000000133",3
349869,"341_611000000132",1
349869,"312_611000000133",2
350656,"12943_711000000123",1
350656,"287_711000000133",2
350776,"12977_611000000133",1
350776,"12963_611000000133",2
350776,"12970_611000000133",3
350776,"350_611000000131",4
350776,"342_611000000133",5
350776,"318_611000000133",6
351028,"341_511000000132",1
351028,"337_511000000133",2
351028,"315_511000000133",3
353494,"344_131000000131",1
360343,"342_431000000133",1
360343,"31342_431000000133",2
360343,"356_431000000133",3
361213,"318_511000000133",1
361213,"12977_511000000133",2
361213,"365_511000000133",3
364826,"12830_131000000133",1
364826,"12855_131000000133",2
364826,"287_131000000133",3
370493,"12868_811000000133",1
370493,"319_811000000133",2
373415,"12851_231000000133",1
373415,"254_231000000113",2
