"rbd_cc","vacantes"
"12838_111000000133",15
"12838_211000000133",13
"12838_311000000133",13
"12838_411000000133",4
"12838_511000000133",14
"12838_611000000133",10
"12838_711000000133",14
"12838_811000000133",3
"12838_131000000133",13
"12838_231000000133",6
"12838_331000000133",11
"12838_431000000133",12
"12840_401000000132",81
"12840_501000000131",13
"12840_111000000133",33
"12840_211000000133",12
"12840_311000000133",5
"12840_411000000133",9
"12840_511000000133",9
"12840_611000000133",3
"12840_711000000133",12
"12840_811000000133",16
"12842_711000000133",117
"12842_811000000133",4
"12842_131000000133",2
"12842_231000000133",12
"12842_331000000133",6
"12842_341041005133",10
"12842_351053014133",10
"12842_361063009133",5
"12842_371072007133",10
"12842_431000000133",20
"12842_441041005133",1
"12842_451053014133",3
"12842_461063009133",5
"12842_471072007133",11
"12851_111000000132",45
"12851_211000000131",7
"12851_311000000133",5
"12851_411000000133",3
"12851_511000000133",2
"12851_611000000133",1
"12851_711000000133",0
"12851_811000000133",0
"12851_131000000133",2
"12851_231000000133",5
"12851_331000000133",0
"12851_431000000133",1
"12853_401000000232",59
"12853_501000000231",5
"12853_111000000133",6
"12853_211000000133",3
"12853_311000000133",3
"12853_411000000133",1
"12853_511000000133",1
"12853_611000000133",1
"12853_711000000133",1
"12853_811000000133",2
"12853_131000000133",7
"12853_231000000133",4
"12853_331000000133",7
"12853_431000000133",3
"12855_131000000133",69
"12855_231000000133",14
"12855_341041002133",5
"12855_341041005133",3
"12855_441041002133",2
"12855_441041005133",6
"12860_111000000131",90
"12860_211000000131",9
"12860_311000000131",5
"12860_411000000131",10
"12860_511000000131",12
"12860_611000000131",14
"12860_711000000131",42
"12860_811000000131",42
"12868_401000000131",35
"12868_401000000132",35
"12868_501000000131",7
"12868_501000000132",6
"12868_111000000132",23
"12868_211000000133",8
"12868_311000000133",5
"12868_411000000133",15
"12868_511000000133",8
"12868_611000000133",6
"12868_711000000133",28
"12868_811000000133",19
"12868_131000000133",21
"12868_231000000133",9
"12868_331000000133",8
"12868_431000000133",1
"12871_111000000133",78
"12871_211000000133",3
"12871_311000000133",3
"12871_411000000133",2
"12871_511000000133",1
"12871_611000000133",4
"12871_711000000133",4
"12871_811000000133",6
"12872_111000000131",39
"12872_211000000131",9
"12872_311000000133",8
"12872_411000000133",2
"12872_511000000133",0
"12872_611000000133",1
"12872_711000000133",1
"12872_811000000133",5
"12878_111000000132",40
"12878_211000000132",9
"12878_311000000132",14
"12878_411000000131",8
"12878_511000000131",16
"12878_611000000131",9
"12885_401000000131",50
"12885_401000000132",50
"12885_501000000133",26
"12885_111000000133",7
"12885_211000000133",5
"12885_311000000133",6
"12885_411000000133",6
"12885_511000000133",3
"12885_611000000133",1
"12885_711000000133",4
"12885_811000000133",5
"12885_131000000133",5
"12885_231000000133",4
"12885_331000000133",6
"12885_431000000133",1
"12891_111000000131",7
"12891_111000000132",11
"12891_211000000131",7
"12891_211000000132",18
"12891_311000000133",23
"12891_411000000133",20
"12891_511000000133",23
"12891_611000000133",16
"12891_711000000133",48
"12891_811000000133",32
"12891_131000000133",17
"12891_231000000133",15
"12891_331000000133",14
"12891_431000000133",4
"12935_501000000131",40
"12935_501000000132",40
"12935_111000000132",32
"12935_211000000131",12
