"mrun","rbd_cc","preferencia_postulante"
2070515,"24311_811000000133",5
2072738,"8474_131000000133",1
2077054,"24307_131000000133",1
2077054,"11680_131000000133",2
2077054,"24327_131000000133",3
2077054,"24338_131000000133",4
2081051,"24338_131000000133",1
2081051,"24307_131000000133",2
2081051,"11680_131000000133",3
2081051,"24327_131000000133",4
2081051,"11678_131000000133",5
2081051,"24329_131000000123",6
2084751,"8429_131000000133",1
2084751,"8430_131000000133",2
2084751,"24307_131000000133",3
2084751,"8442_131000000233",4
2086800,"8474_131000000133",1
2091184,"24327_811000000133",1
2091184,"24307_811000000133",2
2091184,"8424_811000000133",3
2095053,"24317_231000000133",1
2095053,"8422_231000000113",2
2114243,"8427_131000000133",1
2114243,"8425_131000000133",2
2114243,"8429_131000000133",3
2114243,"8424_131000000133",4
2137138,"8421_131000000133",1
2137138,"8411_131000000133",2
2137138,"24300_131000000133",3
2157437,"24307_231000000133",1
2157437,"8454_231000000123",2
2157437,"8458_231000000133",3
2157437,"24329_231000000123",4
2162833,"24329_131000000123",1
2162833,"24307_131000000133",2
2162833,"8442_131000000233",3
2168048,"11680_811000000133",1
2168048,"24338_811000000133",2
2169904,"24305_131000000133",1
2169904,"8425_131000000133",2
2169904,"8424_131000000133",3
2169904,"8429_131000000133",4
2191139,"24327_611000000133",1
2191139,"11680_611000000133",2
2191139,"8439_611000000133",3
2192387,"24327_131000000133",1
2192387,"24305_131000000133",2
2203828,"8421_611000000133",1
2203828,"8415_611000000133",2
2204327,"24338_231000000133",1
2204327,"11680_231000000133",2
2204327,"24305_231000000133",3
2204327,"24327_231000000133",4
2206270,"11680_611000000133",1
2206270,"24307_611000000233",2
2206270,"24305_611000000133",3
2206270,"8442_611000000133",4
2206270,"8444_611000000133",5
2219379,"24327_231000000133",1
2219379,"11680_231000000133",2
2229578,"24307_131000000133",1
2229578,"8429_131000000133",2
2232067,"8438_611000000133",1
2252427,"24327_811000000133",1
2252427,"11680_811000000133",2
2252427,"24305_811000000133",3
2252427,"24307_811000000133",4
2252427,"11678_811000000133",5
2252427,"8457_811000000113",6
2254096,"24327_811000000133",1
2254096,"24338_811000000133",2
2258258,"24316_131000000133",1
2258258,"8425_131000000133",2
2258258,"8454_131000000123",3
2263362,"24307_131000000133",1
2263362,"24327_131000000133",2
2263362,"11680_131000000133",3
2263362,"8429_131000000133",4
2263362,"11678_131000000133",5
2283458,"11680_711000000133",1
2283458,"24305_711000000133",2
2283458,"24327_711000000133",3
2286438,"8439_511000000133",1
2286438,"8442_511000000133",2
2298042,"8411_131000000133",1
2298042,"24300_131000000133",2
2298042,"8421_131000000133",3
2302324,"11678_331000000133",1
2302324,"11680_331000000133",2
2302324,"24327_331000000133",3
2302324,"24338_331000000133",4
2306915,"24338_131000000133",1
2306915,"11680_131000000133",2
2306915,"24305_131000000133",3
2306915,"8429_131000000133",4
2309281,"8425_361061003133",1
2309281,"24316_361061003133",2
2309281,"8442_331000000233",3
2309442,"11680_611000000133",1
2309442,"24305_611000000133",2
2311409,"8449_611000000133",1
2311409,"24307_611000000233",2
2311409,"8442_611000000133",3
2311409,"8450_611000000133",4
2314394,"24327_411000000133",1
2314394,"11680_411000000133",2
2314394,"8438_411000000133",3
2326344,"24329_611000000123",1
2326344,"24305_611000000133",2
2326344,"24311_611000000133",3
2326344,"8434_611000000133",4
2347906,"24327_131000000133",1
2347906,"8424_131000000133",2
2347906,"24329_131000000123",3
2347906,"11678_131000000133",4
2347906,"8442_131000000233",5
2371125,"8421_511000000133",1
2371125,"8415_511000000133",2
2375985,"8442_511000000133",1
2375985,"24307_511000000233",2
2375985,"8458_511000000133",3
2375985,"8434_511000000133",4
